+----------+---------------+---------------+-------------+--------------------+--------------------+--------------------+
| Borough  |     Zone      | init_location | fare_amount |  overall_avg_fare  |  borough_avg_fare  |   Zone_avg_fare    |
| Queens   | Fresh Meadows | 98            | 25.45       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 21.95       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 49.13       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 44.93       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 33.52       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 28.11       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 44.7        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 28.61       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 20.2        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 30.54       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 28.11       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 30.01       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 28.11       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 30.2        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 35.2        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 84.0        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 49.36       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 36.81       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 35.0        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 26.56       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 28.11       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 28.2        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 18.84       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 8.5         | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 34.5        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 50.0        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 17.0        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 90.0        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 33.5        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 5.0         | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 30.2        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 18.11       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 38.91       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 30.54       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 45.56       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 14.0        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 26.56       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 23.49       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 38.2        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 9.2         | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
