+-----------------------------------------------+------------------------+
|                     Zone                      | avg_time_b_pickups_min |
| West Village                                  | 17.346753200623127     |
| East Tremont                                  | 6.193508908188002      |
| Financial District North                      | 4.845252013808976      |
| Columbia Street                               | 60.37332950960711      |
| Claremont/Bathgate                            | 7.6047927985204025     |
| Hollis                                        | 25.574736381748384     |
| Maspeth                                       | 12.219746923612723     |
| Flatbush/Ditmas Park                          | 3.4531333549845327     |
| Kew Gardens Hills                             | 18.820096549258        |
| Upper West Side North                         | 3.3200252326131525     |
| LaGuardia Airport                             | 15.326582902744931     |
| Stuy Town/Peter Cooper Village                | 13.836672187606803     |
| Corona                                        | 8.691376577052646      |
| Grymes Hill/Clifton                           | 30.8255776495739       |
| Stuyvesant Heights                            | 3.3569667726514587     |
| Astoria                                       | 3.147689078143129      |
| Manhattan Beach                               | 27.895134361583718     |
| Murray Hill                                   | 14.960212641159321     |
| Kew Gardens                                   | 15.17619665513264      |
| Rockaway Park                                 | 51.78377447604054      |
| UN/Turtle Bay South                           | 4.2284365710613        |
| East Williamsburg                             | 4.282421288592897      |
| Ocean Parkway South                           | 28.866854980254498     |
| Howard Beach                                  | 24.121548227421684     |
| Richmond Hill                                 | 7.485230537304093      |
| NA                                            | 35.892678102513386     |
| Springfield Gardens South                     | 15.703205883669238     |
| Highbridge Park                               | 295.4974733295901      |
| Hillcrest/Pomonok                             | 14.333587526383877     |
| Sheepshead Bay                                | 9.396104475746702      |
| Middle Village                                | 15.340469562936299     |
| New Dorp/Midland Beach                        | 57.42225859247136      |
| Longwood                                      | 11.775009788019464     |
| Marble Hill                                   | 25.6935826396856       |
| Lenox Hill West                               | 2.850701280693725      |
| Windsor Terrace                               | 22.503698635994358     |
| Great Kills                                   | 53.070845098830176     |
| Melrose South                                 | 5.991126870386285      |
| Saint Albans                                  | 7.163596273334195      |
| Lincoln Square East                           | 18.397204836912945     |
| Lower East Side                               | 3.1724028811669327     |
| Jackson Heights                               | 25.582870529766627     |
| Upper East Side South                         | 19.574432661759463     |
| Gravesend                                     | 20.763073281388696     |
| Soundview/Castle Hill                         | 5.206925207756233      |
| Union Sq                                      | 14.745835346285242     |
| Woodlawn/Wakefield                            | 9.388609909467958      |
| Central Harlem                                | 3.7943781383260577     |
| Bloomingdale                                  | 14.365381990883533     |
| Co-Op City                                    | 51.08237948656645      |
| East Concourse/Concourse Village              | 5.138446968772425      |
| Park Slope                                    | 3.4949581812929766     |
| Saint Michaels Cemetery/Woodside              | 90.59748644228286      |
| Inwood Hill Park                              | 117.60440420299575     |
| Carroll Gardens                               | 13.596899825615191     |
| Randalls Island                               | 225.43604028283693     |
| Yorkville West                                | 3.378185996059025      |
| Country Club                                  | 101.58716216216216     |
| Ridgewood                                     | 5.163307450445633      |
| Van Cortlandt Village                         | 7.158710835753293      |
| Bedford                                       | 3.3292070048484885     |
| Rego Park                                     | 12.17371391561806      |
| Steinway                                      | 6.42842834895722       |
| Times Sq/Theatre District                     | 2.690288152644599      |
| West Chelsea/Hudson Yards                     | 3.017921958771754      |
| Mariners Harbor                               | 23.30814880425155      |
| City Island                                   | 135.67272492910544     |
| Baisley Park                                  | 57.23230564461447      |
| Midwood                                       | 9.676889415961094      |
| Port Richmond                                 | 46.60946771765123      |
| South Jamaica                                 | 8.997452773741346      |
| Sunnyside                                     | 5.135466622433198      |
| Bay Terrace/Fort Totten                       | 45.87386680613668      |
| Briarwood/Jamaica Hills                       | 13.954066414794193     |
| Freshkills Park                               | 1340.136305732484      |
| Murray Hill-Queens                            | 16.44968666489553      |
| Allerton/Pelham Gardens                       | 13.279117884537747     |
| Charleston/Tottenville                        | 79.95594044363415      |
| Manhattanville                                | 11.346807662042277     |
| Stapleton                                     | 16.93740546455122      |
| Midtown East                                  | 16.954951469793233     |
| Central Harlem North                          | 2.7727527756924415     |
| Flatlands                                     | 5.409651557200124      |
| Gramercy                                      | 18.38313844532336      |
| Van Cortlandt Park                            | 48.07074351479722      |
| Alphabet City                                 | 8.558456447324557      |
| Clinton West                                  | 4.573876770661337      |
| Van Nest/Morris Park                          | 7.080101429974306      |
| Brighton Beach                                | 14.28722869979504      |
| East Flatbush/Remsen Village                  | 4.863137615441832      |
| Morrisania/Melrose                            | 6.765782674088262      |
| Schuylerville/Edgewater Park                  | 9.63870117026537       |
| University Heights/Morris Heights             | 5.73824424068643       |
| Glendale                                      | 12.817000706231887     |
| East Elmhurst                                 | 13.065219008879408     |
| Jamaica Bay                                   | 12885.311688311689     |
| Rikers Island                                 | 71306.07142857143      |
| Washington Heights North                      | 5.185277137396308      |
| Brooklyn Heights                              | 6.859226242840107      |
| Glen Oaks                                     | 42.50627952994387      |
| Willets Point                                 | 474.28390596745027     |
| South Ozone Park                              | 5.608343545207523      |
| Bayside                                       | 17.42535756853397      |
| Bronxdale                                     | 10.450255646562422     |
| Forest Hills                                  | 5.187134416470785      |
| Clinton Hill                                  | 5.266170709865271      |
| Crotona Park                                  | 179.99982897212246     |
| Bloomfield/Emerson Hill                       | 22.677884304642895     |
| Far Rockaway                                  | 15.542968519284154     |
| Long Island City/Hunters Point                | 4.737436654455116      |
| Jamaica                                       | 4.738538965715932      |
| Boerum Hill                                   | 5.916061081229943      |
| East Village                                  | 1.839383163688786      |
| South Williamsburg                            | 19.283126019015516     |
| Bushwick South                                | 2.6737254662897234     |
| Bedford Park                                  | 5.701372489546547      |
| Astoria Park                                  | 753.578494623656       |
| Cobble Hill                                   | 22.25460388608157      |
| Roosevelt Island                              | 53.57963858488165      |
| Clinton East                                  | 2.411233698918924      |
| Bellerose                                     | 43.15929312394932      |
| Cambria Heights                               | 28.048337241526326     |
| Gowanus                                       | 16.33511282162699      |
| Madison                                       | 13.21114262764195      |
| Great Kills Park                              | 16770.91935483871      |
| Bronx Park                                    | 67.26874161181057      |
| Green-Wood Cemetery                           | 679.2924467398321      |
| Pelham Bay Park                               | 132.17776381909547     |
+-----------------------------------------------+------------------------+
